,Direccion,Costo,Baños,Recamaras,Area,Estacionamientos,Seguridad,Balcon,Terraza,Jardines,Alberca,Gimnasio
0,"Juárez, Cuauhtémoc, Ciudad de México",17500.0,2.0,2.0,70.0,0,0,0,0,0,0,0
1,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",14900.0,2.0,2.0,68.0,0,0,0,0,0,0,0
2,"Tabacalera, Cuauhtémoc, Ciudad de México",33000.0,2.0,2.0,90.0,0,0,0,0,0,0,0
3,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",40200.0,1.0,1.0,68.0,0,1,0,0,0,0,0
4,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",24600.0,1.0,1.0,42.0,0,0,0,0,0,0,1
5,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",35019.0,2.0,2.0,80.0,0,1,0,0,0,0,0
6,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",62000.0,2.0,2.0,191.0,0,1,0,0,0,0,0
7,"San José Insurgentes, Benito Juárez, Ciudad de México",39500.0,2.0,2.0,77.0,1,0,0,0,0,0,0
8,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",29500.0,2.0,2.0,68.0,1,0,0,0,0,0,0
9,"San José Insurgentes, Benito Juárez, Ciudad de México",28500.0,2.0,2.0,76.0,1,0,0,0,0,0,0
10,"Granada, Miguel Hidalgo, Ciudad de México",95000.0,3.0,3.0,181.0,2,0,0,0,0,0,0
11,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
12,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",62000.0,2.0,2.0,191.0,2,0,0,0,0,0,0
13,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",71000.0,3.0,3.0,200.0,3,0,0,0,0,0,0
14,"Condesa, Cuauhtémoc, Ciudad de México",45004.0,2.0,1.0,115.0,0,1,0,0,0,0,0
15,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24244.0,1.0,1.0,73.0,0,0,0,0,0,0,1
16,"Área 1, Cuauhtémoc, Ciudad de México",15000.0,1.0,1.0,24.0,0,0,0,0,0,0,0
17,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",75000.0,2.0,2.0,180.0,3,0,0,0,0,0,0
18,"Tabacalera, Cuauhtémoc, Ciudad de México",22700.0,,,,0,0,0,0,0,0,0
19,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
20,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",37000.0,2.0,2.0,120.0,0,1,0,0,0,0,0
21,"Condesa, Cuauhtémoc, Ciudad de México",50000.0,2.0,3.0,119.0,2,0,0,0,0,0,0
22,"Florida, Álvaro Obregón, Ciudad de México",32500.0,2.0,2.0,166.0,1,0,0,0,0,0,0
23,"Juárez, Cuauhtémoc, Ciudad de México",60000.0,3.0,3.0,173.0,2,0,0,0,0,0,0
24,"San Gabriel, Álvaro Obregón, Ciudad de México",22000.0,1.0,1.0,81.0,2,0,0,0,0,0,0
25,"San Mateo Tlaltenango, Cuajimalpa de Morelos, Ciudad de México",12000.0,2.0,2.0,460.0,6,0,0,0,0,0,0
26,"Polanco, Miguel Hidalgo, Ciudad de México",55000.0,2.0,2.0,160.0,1,0,0,0,0,0,0
27,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",22500.0,1.0,1.0,71.0,1,0,0,0,0,0,0
28,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",40000.0,3.0,4.0,170.0,0,0,0,0,0,0,0
29,"Juárez, Cuauhtémoc, Ciudad de México",22800.0,1.0,1.0,50.0,0,0,0,0,0,1,0
30,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",36919.0,2.0,2.0,92.0,0,1,0,0,0,0,0
31,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",42600.0,2.0,2.0,87.0,0,1,0,0,0,0,0
